Rank,Name,Gs,MPG,FG%,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
145,Willie Cauley-Stein,63,23.2,.549,.584,0.0,6.6,1.8,1.98,1.0,0.9,0.9,9.4
146,Terrence Ross,66,26.9,.415,.847,2.5,3.3,1.4,1.39,1.0,0.3,1.0,14.5
147,Daniel Theis,62,23.6,.561,.753,0.4,6.5,1.6,1.77,0.6,1.3,0.9,9.1
148,Darius Garland,65,33.3,.415,.888,2.3,2.0,4.2,1.50,0.8,0.1,2.8,16.1
149,Joe Harris,63,30.9,.482,.794,2.4,4.2,2.2,1.46,0.6,0.3,1.5,13.8
150,Jeremy Lamb,60,27.9,.450,.853,1.2,4.6,2.1,1.91,1.1,0.5,1.1,13.3
151,Mo Bamba,64,21.0,.471,.649,0.8,6.9,1.0,0.91,0.4,2.0,1.1,8.0
152,Troy Brown Jr.,64,27.2,.451,.740,0.9,5.7,2.6,2.37,1.3,0.1,1.1,10.4
153,Will Barton,60,29.0,.435,.788,1.7,4.7,3.3,2.06,0.7,0.5,1.6,13.1
154,Marc Gasol,57,25.9,.432,.778,1.2,6.4,3.5,2.20,0.8,0.9,1.6,10.4
155,Monte Morris,67,23.7,.478,.806,1.0,2.1,3.8,5.43,0.9,0.2,0.7,9.8
156,Nemanja Bjelica,66,24.3,.476,.803,1.5,5.6,2.2,1.84,0.7,0.5,1.2,9.9
157,Thaddeus Young,69,24.1,.483,.619,0.8,4.9,1.8,1.38,1.3,0.3,1.3,9.7
158,Ish Smith,65,24.9,.450,.705,0.8,2.9,4.4,3.67,0.8,0.3,1.2,10.2
159,Taurean Prince,63,30.1,.404,.811,2.3,5.3,2.1,1.00,1.0,0.4,2.1,13.3
160,Cedi Osman,65,32.1,.438,.709,2.0,4.1,2.6,1.72,0.9,0.2,1.5,12.3
161,OG Anunoby,66,29.0,.488,.653,1.3,4.8,1.3,1.18,1.2,0.5,1.1,10.1
162,Seth Curry,65,27.7,.487,.841,2.5,2.6,1.9,1.59,0.7,0.2,1.2,13.3
163,Duncan Robinson,65,29.5,.468,.885,3.6,3.2,1.4,1.54,0.5,0.2,0.9,12.9
164,Deni Avdija,65,27.1,.448,.774,1.1,4.5,2.3,1.35,0.8,0.7,1.7,11.7
