Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS
181,Dwight Howard,64,20.1,4,2.79,.698,3.1,1.57,.508,0.1,7.8,0.7,0.54,0.5,1.2,1.3,8.3
182,Moritz Wagner,64,22.6,5.9,3.04,.515,2.1,1.73,.823,0.9,5.7,1.5,0.83,0.7,0.6,1.8,11.0
183,Eric Gordon,58,32.1,12.9,5.15,.399,3,2.34,.779,3.2,2.3,1.9,1.36,0.7,0.4,1.4,16.8
184,Patrick Beverley,58,27.4,6.7,2.78,.415,0.9,0.66,.733,1.5,5.2,3.8,2.93,1.0,0.5,1.3,7.8
185,Alec Burks,62,24.9,11.6,4.71,.406,4,3.51,.878,1.4,4.2,2.4,1.84,0.8,0.3,1.3,12.5
186,Matisse Thybulle,64,24.7,4.1,1.73,.422,0.6,0.38,.638,1.4,1.9,1.6,1.59,1.7,0.9,1.0,8.3
187,Kentavious Caldwell-Pope,68,26.5,7.3,3.26,.446,1.5,1.23,.817,1.7,2.9,1.6,1.79,1.0,0.2,0.9,10.8
188,Rajon Rondo,57,24.3,6.8,2.88,.423,0.9,0.57,.636,0.9,3.8,6.5,2.97,1.0,0.1,2.2,8.0
189,Marcus Morris Sr.,66,24.3,13.1,5.7,.435,3.5,2.9,.828,1.8,4.5,1.1,0.92,0.6,0.3,1.2,12.9
190,Trevor Ariza,65,27.5,6.1,2.52,.413,1.4,1.15,.821,1.6,4.3,2.1,2.11,1.2,0.2,1.0,8.9
191,Onyeka Okongwu,63,22.7,6.5,3.56,.548,1.1,0.81,.735,0.4,4.9,1.3,0.77,0.8,1.1,1.7,9.5
192,James Johnson,57,24.7,6.7,3.15,.470,1.5,1.02,.682,1.1,4.3,3.1,1.72,0.9,0.9,1.8,9.9
193,Gary Harris,60,30.1,9.3,4.05,.435,1.6,1.31,.817,1.4,2.7,2.2,1.83,1.3,0.3,1.2,11.9
194,Dwight Powell,61,23.4,5.7,3.48,.611,2.8,2.03,.724,0.4,5.5,1.4,1.55,0.7,0.6,0.9,9.7
195,Dario Saric,65,25.0,8.2,3.71,.452,1.9,1.6,.842,1.3,5.9,1.9,1.46,0.6,0.2,1.3,10.2
