Rank,Name,Team,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
340,Gary Clark,ORL,42,13.5,1.2992,3.2,0.406,0.18,0.2,0.9,0.9,2.6,0.4,0.1,0.5,0.2,3.7
341,Hamidou Diallo,OKC,46,19.5,2.8544,6.4,0.446,0.8442,1.4,0.603,0.3,3.6,0.8,0.8,0.2,1.1,6.9
342,John Konchar,MEM,19,9.5,1.2331,1.9,0.649,0.05,0.1,0.5,0.3,2.5,1.2,0.4,0.2,0.4,2.8
343,J.J. Barea,DAL,29,15.5,2.9181,7.1,0.411,0.7272,0.8,0.909,1.1,1.8,3.9,0.2,0.1,1.3,7.7
344,Ryan Broekhoff,FA,17,10.6,1.3055,3.5,0.373,0.4375,0.5,0.875,1.2,2.5,0.6,0.3,0.2,0.4,4.2
345,Georges Niang,UTA,66,14,2.1462,4.9,0.438,0.3332,0.4,0.833,1.4,1.9,0.7,0.3,0.1,0.5,5.9
346,Lonnie Walker,SAS,61,16.2,2.5134,5.9,0.426,0.721,1,0.721,0.7,2.3,1.1,0.5,0.2,0.7,6.4
347,Marques Bolden,FA,1,2.8,0,0,0,0,0,0,0,2,0,1,0,0,0
348,Anfernee Simons,POR,70,20.7,3.0723,7.7,0.399,1.0738,1.3,0.826,1.1,2.2,1.4,0.4,0.1,0.9,8.3
349,Cheick Diallo,PHO,47,10.2,1.944,3,0.648,0.6976,0.8,0.872,0,2.8,0.5,0.2,0.3,0.7,4.7
350,Bruno Caboclo,HOU,30,8.1,1.281,3,0.427,0.2667,0.3,0.889,0.2,2,0.4,0.5,0.6,0.4,3
351,Mike Muscala,OKC,47,12.2,1.628,4,0.407,0.409,0.5,0.818,1.1,2.3,0.9,0.2,0.3,0.4,4.8
352,Thon Maker,DET,60,12.9,1.5424,3.2,0.482,1.1952,1.8,0.664,0.4,2.8,0.7,0.4,0.7,0.8,4.7
353,Emmanuel Mudiay,UTA,54,15.7,2.778,6,0.463,1.1385,1.5,0.759,0.6,2.3,2.1,0.4,0.2,1.4,7.3
354,Jamal Crawford,BKN,1,6,2,4,0.5,0,0,0,1,0,3,0,0,0,5
355,Jordan Poole,GSW,57,22.3,2.9304,8.8,0.333,1.6758,2.1,0.798,1.3,2.1,2.4,0.6,0.2,1.3,8.8
356,Juancho Hernangomez,MIN,48,17.4,2.0655,5.1,0.405,0.93,1.5,0.62,0.9,4.1,0.8,0.4,0.2,0.6,6
357,Ryan Arcidiacono,CHI,58,16,1.5542,3.8,0.409,0.4977,0.7,0.711,0.9,1.9,1.7,0.5,0.1,0.6,4.5
358,Norvel Pelle,PHI,24,9.7,1.042,2,0.521,0.3,0.6,0.5,0,3,0.3,0.1,1.3,0.8,2.4
359,Grant Williams,BOS,69,15.1,1.2772,3.1,0.412,0.5776,0.8,0.722,0.3,2.6,1,0.4,0.5,0.7,3.4
360,P.J. Dozier,DEN,29,14.2,2.2356,5.4,0.414,0.724,1,0.724,0.6,1.9,2.2,0.5,0.2,0.9,5.8
361,Vince Carter,ATL,60,14.6,1.7952,5.1,0.352,0.3965,0.5,0.793,1,2.1,0.8,0.4,0.4,0.6,5
362,Wayne Ellington,NYK,36,15.5,1.6848,4.8,0.351,0.3384,0.4,0.846,1.4,1.8,1.2,0.4,0.1,0.5,5.1
363,Brandon Goodwin,ATL,34,12.7,2.24,5.6,0.4,0.8397,0.9,0.933,0.8,2.1,1.5,0.4,0.1,0.9,6.1
364,Iman Shumpert,FA,13,18.5,1.6072,4.9,0.328,0.2855,0.5,0.571,0.6,2.6,0.9,0.9,0.2,0.8,4.2
365,Noah Vonleh,DEN,36,10.5,1.469,2.6,0.565,0.7029,0.9,0.781,0.1,3.4,0.8,0.3,0.2,0.6,3.7
366,Donta Hall,BKN,9,14.8,1.6368,2.4,0.682,1,2,0.5,0,4.2,0.4,0.3,0.7,0.6,4.3
367,Frank Mason III,MIL,9,13.1,2.5707,5.7,0.451,1.1172,1.9,0.588,0.7,2.1,3.2,0.6,0.1,1.2,6.9
368,Thabo Sefolosha,HOU,41,10.6,0.8954,2.2,0.407,0.075,0.2,0.375,0.4,2.3,0.6,0.6,0.3,0.4,2.2
369,Ante Zizic,CLE,22,10,1.8777,3.3,0.569,0.6633,0.9,0.737,0,3,0.3,0.3,0.2,0.5,4.4
370,Raul Neto,PHI,54,12.4,1.8655,4.1,0.455,0.747,0.9,0.83,0.6,1.1,1.8,0.4,0.1,0.9,5.1
371,Rodions Kurucs,BKN,47,14.5,1.6948,3.8,0.446,0.5056,0.8,0.632,0.7,2.9,1.1,0.5,0.1,1,4.6
372,Matt Thomas,TOR,41,10.7,1.8019,3.7,0.487,0.225,0.3,0.75,1.1,1.5,0.5,0.2,0,0.4,4.9
373,Kevon Looney,GSW,20,13.1,1.468,4,0.367,0.45,0.6,0.75,0.1,3.3,1,0.6,0.3,0.7,3.4
374,Marco Belinelli,SAS,57,15.5,2.156,5.5,0.392,0.828,1,0.828,1.2,1.7,1.2,0.2,0,0.3,6.3
375,Justin Jackson,DAL,65,16.1,2.0592,5.2,0.396,0.672,0.8,0.84,0.7,2.4,0.8,0.2,0.2,0.2,5.5
376,Alfonzo McKinnie,CLE,40,14.8,1.8361,4.3,0.427,0.568,0.8,0.71,0.4,2.8,0.4,0.6,0.2,0.7,4.6
377,Luka Samanic,SAS,3,16.1,1.6589,5.3,0.313,0.975,1.3,0.75,1,3.3,2,0,0.7,0.7,5.3
378,Willy Hernangomez,CHA,31,12.1,2.3805,4.5,0.529,1.1913,1.9,0.627,0.2,4.4,0.9,0.3,0.2,0.9,6.1
379,Jeremy Pargo,FA,3,14.8,3.65,7.3,0.5,0,0.3,0,1,1,2.7,0.3,0,1.3,8.3
380,Patrick Patterson,LAC,59,13.2,1.5912,3.9,0.408,0.5698,0.7,0.814,1.1,2.6,0.7,0.1,0.1,0.4,4.9
381,Jerome Robinson,WAS,63,15.5,1.8179,4.9,0.371,0.6318,0.9,0.702,0.8,2,1.4,0.5,0.3,0.8,5.1
382,Anthony Tolliver,MEM,56,16,1.188,3.3,0.36,0.4452,0.6,0.742,0.9,2.8,0.8,0.3,0.2,0.6,3.7
383,Terrance Ferguson,OKC,56,22.5,1.3845,3.9,0.355,0.3,0.4,0.75,0.9,1.3,0.9,0.5,0.3,0.6,3.9
384,Johnathan Williams,WAS,15,12,1.2857,2.3,0.559,0.4842,0.9,0.538,0,4.3,0.5,0.1,0.5,0.3,3
385,Chandler Parsons,FA,5,10.8,1.0008,3.6,0.278,0,0,0,0.8,1.4,0.6,0.8,0.2,0.6,2.8
386,Kevin Knox II,NYK,65,17.9,2.2258,6.2,0.359,1.0448,1.6,0.653,1,2.8,0.9,0.4,0.4,0.7,6.4
387,Bruno Fernando,ATL,56,12.7,1.8648,3.6,0.518,0.5121,0.9,0.569,0.1,3.5,0.9,0.3,0.3,0.8,4.3
388,Tacko Fall,BOS,7,4.6,1.572,2,0.786,0.1332,0.4,0.333,0,2.1,0.1,0.1,0.6,0.4,3.3
389,Robin Lopez,MIL,66,14.5,2.214,4.5,0.492,0.4224,0.8,0.528,0.5,2.4,0.7,0.2,0.7,1,5.4
390,DaQuan Jeffries,SAC,13,10.9,1.55,3.1,0.5,0.4165,0.5,0.833,0.4,1.4,0.5,0.3,0.1,0.2,3.8
391,Sekou Doumbouya,DET,38,19.8,2.418,6.2,0.39,0.8088,1.2,0.674,0.7,3.1,0.5,0.5,0.2,0.9,6.4
392,Semi Ojeleye,BOS,69,14.6,1.1424,2.8,0.408,0.4375,0.5,0.875,0.7,2.1,0.5,0.3,0.1,0.3,3.4
393,Edmond Sumner,IND,31,14.4,1.978,4.6,0.43,0.4968,0.9,0.552,0.5,1.5,1.8,0.5,0.3,0.7,4.9
394,Allen Crabbe,FA,37,17.6,1.7088,4.8,0.356,0.2856,0.4,0.714,1,2.1,0.9,0.4,0.1,0.5,4.6
395,Anzejs Pasecniks,WAS,26,16.8,2.367,4.5,0.526,1.2892,2.2,0.586,0,4.1,0.7,0.3,0.5,0.9,6
396,Chris Clemons,HOU,33,8.8,1.7243,4.3,0.401,0.2727,0.3,0.909,1.1,0.9,0.8,0.3,0.2,0.6,4.9
397,Dante Exum,CLE,35,13.9,1.6014,3.4,0.471,0.8928,1.2,0.744,0.4,1.9,1.1,0.4,0.2,0.9,4.5
398,Kadeem Allen,FA,10,11.7,1.9008,4.4,0.432,0.6996,1.1,0.636,0.5,0.9,2.1,0.5,0.2,0.8,5
399,Ed Davis,UTA,28,10.8,0.7648,1.6,0.478,0.25,0.5,0.5,0,3.8,0.4,0.4,0.3,0.5,1.8
400,Javonte Green,BOS,48,9.7,1.3,2.6,0.5,0.6003,0.9,0.667,0.2,1.9,0.5,0.5,0.2,0.5,3.4
401,Goga Bitadze,IND,54,8.7,1.3076,2.8,0.467,0.4362,0.6,0.727,0.1,2,0.4,0.2,0.7,0.5,3.2
402,Miye Oni,UTA,10,10.9,1.2,3.2,0.375,0.4,0.5,0.8,0.7,1.7,0.4,0.4,0.2,0.4,3.5
403,Alen Smailagic,GSW,14,9.9,1.45,2.9,0.5,1.1788,1.4,0.842,0.2,1.9,0.9,0.2,0.3,0.8,4.2
404,Tim Frazier,FA,27,13.1,1.267,3.5,0.362,0.7128,0.9,0.792,0.4,1.2,3.4,0.5,0.1,1.3,3.6
405,Elie Okobo,PHO,55,13.1,1.3134,3.3,0.398,0.9152,1.3,0.704,0.5,1.6,2.1,0.5,0.1,0.7,4
406,Dusty Hannahs,FA,2,6.7,1.998,4.5,0.444,1,1,1,1,0.5,0,0,0,0,6
407,Rodney McGruder,LAC,56,15.6,1.2736,3.2,0.398,0.3354,0.6,0.559,0.4,2.7,0.7,0.5,0.1,0.4,3.3
408,Yogi Ferrell,SAC,50,10.6,1.596,3.8,0.42,0.6856,0.8,0.857,0.5,1,1.4,0.4,0.1,0.6,4.4
409,Allonzo Trier,NYK,24,12.1,2.1164,4.4,0.481,1.4238,1.8,0.791,0.8,1.2,1.2,0.1,0.2,0.9,6.5
410,Jarrell Brantley,UTA,9,10.7,1.1067,3.1,0.357,0.1,0.2,0.5,0.3,2.2,1.2,0.3,0.6,0.8,2.7
411,Ryan Anderson,FA,2,7,1.001,3.5,0.286,0,0,0,0.5,3.5,1,0.5,0,0.5,2.5
412,Paul Watson,TOR,10,8.7,1.001,2.6,0.385,0.7002,0.9,0.778,0.4,1.7,0.8,0.4,0.1,0.3,3.1
413,Tremont Waters,BOS,11,10.8,1.287,4.5,0.286,0.7,0.7,1,0.4,1.1,1.5,0.9,0.2,1.4,3.6
