Rank,Name,Team,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
1,James Harden,HOU,68,36.5,9.9012,22.3,0.444,10.207,11.8,0.865,4.4,6.6,7.5,1.8,0.9,4.5,34.3
2,Anthony Davis,LAL,62,34.4,8.9031,17.7,0.503,7.191,8.5,0.846,1.2,9.3,3.2,1.5,2.3,2.5,26.1
3,Damian Lillard,POR,67,37.6,9.4248,20.4,0.462,7.0389,7.9,0.891,4.1,4.3,8.1,1.1,0.3,2.9,30
4,Kawhi Leonard,LAC,57,32.4,9.353,19.9,0.47,6.2906,7.1,0.886,2.2,7.1,4.9,1.8,0.6,2.6,27.1
5,Karl-Anthony Towns,MIN,35,33.9,9.0424,17.8,0.508,5.174,6.5,0.796,3.3,10.8,4.4,0.9,1.2,3.1,26.5
6,Kyrie Irving,BKN,20,32.9,9.9424,20.8,0.478,4.7022,5.1,0.922,2.8,5.2,6.4,1.4,0.5,2.6,27.4
7,John Collins,ATL,41,33.2,8.6284,14.8,0.583,2.96,3.7,0.8,1.4,10.1,1.5,0.8,1.6,1.8,21.6
8,Jusuf Nurkic,POR,9,32.6,6.9048,13.7,0.504,3.8955,4.9,0.795,0.4,11.4,4.2,1.4,2,2.7,18.1
9,Hassan Whiteside,POR,68,29.7,6.4376,10.4,0.619,2.401,3.5,0.686,0.1,13.4,1.1,0.4,2.9,1.8,15.4
10,Nikola Jokic,DEN,73,32,7.7616,14.7,0.528,3.3497,4.1,0.817,1.1,9.7,7,1.2,0.6,3.1,19.9
11,Bradley Beal,WAS,57,36,10.4195,22.9,0.455,6.744,8,0.843,3,4.2,6.1,1.3,0.4,3.4,30.6
12,Jimmy Butler,MIA,58,33.8,5.9605,13.1,0.455,7.5894,9.1,0.834,0.5,6.7,6,1.8,0.6,2.2,19.9
13,Jayson Tatum,BOS,66,34.3,8.37,18.6,0.45,3.8164,4.7,0.812,2.9,7,3,1.4,0.9,2.3,23.4
14,Chris Paul,OKC,70,31.5,6.2103,12.7,0.489,3.628,4,0.907,1.6,5,6.7,1.6,0.2,2.3,17.6
15,Kristaps Porzingis,DAL,57,31.8,7.0028,16.4,0.427,3.995,5,0.799,2.5,9.5,1.8,0.7,2,1.6,20.4
16,LeBron James,LAL,67,34.6,9.5642,19.4,0.493,3.9501,5.7,0.693,2.2,7.8,10.2,1.2,0.5,3.9,25.3
17,Jonathan Isaac,ORL,34,28.8,4.606,9.8,0.47,1.7917,2.3,0.779,0.9,6.8,1.4,1.6,2.3,1.4,11.9
18,Nikola Vucevic,ORL,62,32.2,7.9659,16.7,0.477,2.1168,2.7,0.784,1.6,10.8,3.6,0.9,0.8,1.4,19.6
19,Trae Young,ATL,60,35.3,9.0896,20.8,0.437,7.998,9.3,0.86,3.4,4.3,9.3,1.1,0.1,4.8,29.6
20,Paul George,LAC,48,29.6,7.1557,16.3,0.439,3.942,4.5,0.876,3.3,5.7,3.9,1.4,0.4,2.6,21.5
21,Kyle Lowry,TOR,58,36.2,5.7408,13.8,0.416,5.0563,5.9,0.857,2.8,5,7.5,1.4,0.4,3.1,19.4
22,Giannis Antetokounmpo,MIL,63,30.4,10.8941,19.7,0.553,6.34,10,0.634,1.4,13.6,5.6,1,1,3.7,29.5
23,Joel Embiid,PHI,51,29.5,7.4732,15.7,0.476,6.8595,8.5,0.807,1.1,11.6,3,0.9,1.3,3.1,23
24,Clint Capela,ATL,39,32.8,6.2271,9.9,0.629,1.4283,2.7,0.529,0,13.8,1.2,0.8,1.8,1.6,13.9
25,Fred VanVleet,TOR,54,35.7,5.9059,14.3,0.413,3.1376,3.7,0.848,2.7,3.8,6.6,1.9,0.3,2.2,17.6
26,Luka Doncic,DAL,61,33.6,9.5378,20.6,0.463,6.9736,9.2,0.758,2.8,9.4,8.8,1,0.2,4.3,28.8
27,LaMarcus Aldridge,SAS,53,33.1,7.395,15,0.493,2.9772,3.6,0.827,1.2,7.4,2.4,0.7,1.6,1.4,18.9
28,Andre Drummond,CLE,57,33,7.3416,13.8,0.532,2.99,5.2,0.575,0.1,15.2,2.7,1.9,1.6,3.6,17.7
29,Devin Booker,PHO,70,35.9,8.9487,18.3,0.489,6.7087,7.3,0.919,2,4.2,6.5,0.7,0.3,3.8,26.6
30,Khris Middleton,MIL,62,29.9,7.6041,15.3,0.497,3.3892,3.7,0.916,2.4,6.2,4.3,0.9,0.1,2.2,20.9
31,Stephen Curry,GSW,5,27.9,6.5928,16.4,0.402,5.2,5.2,1,2.4,5.2,6.6,1,0.4,3.2,20.8
32,Deandre Ayton,PHO,38,32.5,8.1354,14.9,0.546,1.7319,2.3,0.753,0.1,11.5,1.9,0.7,1.5,2.1,18.2
33,Rudy Gobert,UTA,68,34.3,5.6826,8.2,0.693,3.717,5.9,0.63,0,13.5,1.5,0.8,2,1.9,15.1
34,Robert Covington,HOU,70,30.5,4.3466,10.3,0.422,1.4364,1.8,0.798,2.3,6.6,1.3,1.6,1.3,1.5,12.4
35,Brandon Ingram,NOR,62,33.9,8.1951,17.7,0.463,5.0209,5.9,0.851,2.4,6.1,4.2,1,0.6,3,23.8
36,Ben Simmons,PHI,57,35.4,6.612,11.4,0.58,3.2292,5.2,0.621,0,7.8,8,2.1,0.6,3.5,16.4
37,DeMar DeRozan,SAS,68,34.1,8.1774,15.4,0.531,5.577,6.6,0.845,0.1,5.5,5.6,1,0.3,2.4,22.1
38,Zach LaVine,CHI,60,34.8,9,20,0.45,4.4912,5.6,0.802,3.1,4.8,4.2,1.5,0.5,3.4,25.5
39,Pascal Siakam,TOR,60,35.2,8.3352,18.4,0.453,4.0392,5.1,0.792,2.2,7.3,3.5,1,0.9,2.5,22.9
40,Jrue Holiday,NOR,61,34.7,7.5075,16.5,0.455,2.127,3,0.709,2,4.8,6.7,1.6,0.8,3.1,19.1
41,T.J. Warren,IND,67,32.9,7.9864,14.9,0.536,2.457,3,0.819,1.4,4.2,1.5,1.2,0.5,1.3,19.8
42,Richaun Holmes,SAC,44,28.2,5.0544,7.8,0.648,2.1276,2.7,0.788,0,8.1,1,0.9,1.3,1.2,12.3
43,Russell Westbrook,HOU,57,36,10.62,22.5,0.472,5.1121,6.7,0.763,1,7.9,7,1.6,0.4,4.5,27.2
44,Bam Adebayo,MIA,72,33.6,6.127,11,0.557,3.6623,5.3,0.691,0,10.2,5.1,1.1,1.3,2.8,15.9
45,Kemba Walker,BOS,56,31.1,6.7575,15.9,0.425,3.7152,4.3,0.864,3.2,3.9,4.8,0.9,0.5,2.1,20.4
46,Jonas Valanciunas,MEM,71,26.5,6.1798,10.6,0.583,2.1692,2.9,0.748,0.5,11.4,1.9,0.4,1.1,1.8,15
47,Gordon Hayward,BOS,52,33.5,6.75,13.5,0.5,2.394,2.8,0.855,1.6,6.7,4.1,0.7,0.4,1.8,17.5
48,Domantas Sabonis,IND,62,34.8,7.4117,13.7,0.541,3.4704,4.8,0.723,0.3,12.4,5,0.7,0.5,2.8,18.5
49,Brook Lopez,MIL,68,26.7,4.3065,9.9,0.435,1.8392,2.2,0.836,1.5,4.6,1.5,0.7,2.4,1,12
50,Kelly Oubre Jr.,PHO,56,34.5,6.6896,14.8,0.452,3.432,4.4,0.78,1.9,6.4,1.5,1.3,0.7,1.5,18.7
51,Mitchell Robinson,NYK,61,23.2,4.1552,5.6,0.742,1.3632,2.4,0.568,0,7,0.6,0.9,2,0.6,9.7
52,Tobias Harris,PHI,72,34.3,7.6773,16.3,0.471,2.415,3,0.805,1.8,6.9,3.2,0.7,0.6,1.4,19.6
53,Shai Gilgeous-Alexander,OKC,70,34.7,6.8295,14.5,0.471,4.1157,5.1,0.807,1.2,5.9,3.3,1.1,0.7,1.9,19
54,Donovan Mitchell,UTA,69,34.3,8.7106,19.4,0.449,4.0561,4.7,0.863,2.5,4.4,4.3,1,0.2,2.7,24
55,CJ McCollum,POR,71,36.6,8.7688,19.4,0.452,2.0574,2.7,0.762,2.8,4.2,4.4,0.8,0.6,1.8,22.3
56,Kevin Love,CLE,56,31.8,5.85,13,0.45,3.3306,3.9,0.854,2.6,9.8,3.2,0.6,0.3,2.5,17.6
57,Jamal Murray,DEN,59,32.3,6.9312,15.2,0.456,2.7311,3.1,0.881,1.9,4,4.8,1.1,0.3,2.2,18.5
58,Myles Turner,IND,62,29.4,4.3415,9.5,0.457,2.0277,2.7,0.751,1.4,6.6,1.2,0.8,2.1,1.4,12.1
59,D'Angelo Russell,MIN,45,32.3,8.0088,18.8,0.426,3.5596,4.4,0.809,3.5,3.9,6.3,1.1,0.3,3.3,23.1
