Rank,Name,Gs,MPG,FGA,FGM,FG%,FTA,FTM,FT%,3PM,REB,AST,ATO,STL,BLK,TOV,PTS,Taken,Rank_zscore,Gs_zscore,MPG_zscore,FGA_zscore,FGM_zscore,FG%_zscore,FTA_zscore,FTM_zscore,FT%_zscore,3PM_zscore,REB_zscore,AST_zscore,ATO_zscore,STL_zscore,BLK_zscore,TOV_zscore,PTS_zscore,SUM_zscore
23,Kawhi Leonard,58,33.1,19.9,9.49,0.47700000000000004,7.1,6.21,0.8740000000000001,2.0,7.4,4.3,1.72,1.8,0.5,2.5,26.8,True,-1.4202930245961258,-1.5355454028220037,0.9989699371483339,2.13087384038619,2.1820028389201176,0.03242239318297689,2.1541484286475003,2.4580928560823994,1.2525261650117154,0.5733888790400173,0.7643841529548885,0.604936558132836,-0.008399947856617681,2.518827794613272,-0.2765537334580853,0.9288855022479304,2.1245868020621845,6.665633509291875
24,Jrue Holiday,65,35.5,16.5,7.69,0.466,3.0,2.23,0.742,1.9,4.8,6.8,2.34,1.6,0.8,2.9,20.0,True,-1.406436507282993,0.4894767938159063,1.5270132481244596,1.3574994747464544,1.3151808488127226,-0.14880033294138365,0.0660056828902773,-0.011516570592736254,-0.41488129173872373,0.46487470813918125,-0.29229321714438244,1.8656412891532508,0.8370493494003644,1.9368435537137174,0.3229124517834293,1.4378638596440565,0.9311959005238684,3.2276292018449
25,Zion Williamson,61,32.6,15.0,8.73,0.5820000000000001,7.4,5.02,0.6779999999999999,0.5,8.7,2.4,0.82,1.2,0.9,2.9,28.0,True,-1.39257998996986,-0.6676787471200423,0.8889609140283077,1.0163049016701002,1.8160113319858842,1.7622756880064174,2.306939361263883,1.719692047604155,-1.2233212707692398,-1.0543236844725226,1.2927228380045235,-0.3531990374426793,-1.2356650567780434,0.7728750719146081,0.5227345135306007,1.4378638596440565,2.3351851964512993,2.617085455578951
26,Paul George,64,33.8,16.3,7.09,0.435,4.5,3.82,0.85,3.4,6.7,3.8,1.4,1.8,0.5,2.7,24.1,True,-1.3787234726567272,0.20018790858191915,1.1529825695163698,1.3120068650029406,1.0262401854435905,-0.6595189247463997,0.8299603459721884,0.9750861903151696,0.9493611728752706,2.092587271651721,0.4798940917743155,0.352795611928753,-0.4447608754731247,2.518827794613272,-0.2765537334580853,1.1833746809459937,1.6507404146866769,5.924759018379531
27,Brandon Ingram,65,34.2,17.7,8.37,0.473,5.9,4.93,0.835,2.6,6.1,4.2,1.4,0.9,0.7,3.0,26.4,True,-1.3648669553435941,0.4894767938159063,1.240989788012392,1.6304551332075374,1.6426469339644045,-0.03347677995315513,1.5429846981819721,1.6638466083074812,0.7598830527899934,1.2244739044450335,0.23604546790525283,0.5545083688920196,-0.4447608754731247,-0.10010128943472332,0.12309039003625763,1.565108448993088,2.054387337265813,3.253702002953403
28,Deandre Ayton,64,32.9,14.9,8.58,0.5760000000000001,2.3,1.76,0.767,0.0,11.4,1.9,0.91,0.8,1.3,2.1,21.5,True,-1.3510104380304613,0.20018790858191915,0.9549663279003228,0.9935585967983434,1.743776166143601,1.6634269283022207,-0.29050649321461464,-0.3031538646975889,-0.09908442492992844,-1.5968945389767024,2.390041645415305,-0.6053399836467622,-1.1129385458859007,-0.3910934098845005,1.322022760519287,0.4199071448518044,1.1944438935102617,3.4576157254573765
29,Ja Morant,65,33.7,14.2,6.93,0.488,4.6,3.65,0.7929999999999999,1.3,4.0,8.1,2.25,1.0,0.3,3.6,23.2,True,-1.3371539207173284,0.4894767938159063,1.1309807648923658,0.8343344626960445,0.9491893418784887,0.2136451193073365,0.8808906568443156,0.8696003605325634,0.22934431655121726,-0.18621031726583454,-0.6174247156364657,2.5212077492838665,0.714322838508222,0.19089083101505383,-0.6761978569524283,2.3285759850872774,1.4927916188948405,0.8394707601103089
30,Nikola Vucevic,62,31.7,16.7,8.17,0.489,2.7,2.13,0.7879999999999999,1.3,11.2,3.7,2.18,0.9,1.0,1.7,19.6,True,-1.3232974034041953,-0.3783898618860551,0.69094467241226,1.4029920844899681,1.5463333795080276,0.2301199125913693,-0.08678524972610481,-0.07356705870015177,0.1661849431894582,-0.18621031726583454,2.308758770792284,0.3023674226879366,0.6188688855921113,-0.10010128943472332,0.7225565752777723,-0.08907121254432186,0.8609964357274971,4.393743666110082
31,Bam Adebayo,68,32.1,11.0,6.26,0.569,5.3,3.86,0.7290000000000001,0.0,9.8,4.0,1.67,1.1,1.2,2.4,16.4,True,-1.3094408860910625,1.3573434495178678,0.7789518909082814,0.10645270679982248,0.6265389344496249,1.5481033753139894,1.2374028329492075,0.9999063855581358,-0.5790956624792959,-1.5968945389767024,1.7397786484311386,0.4536519904103863,-0.07658134279669694,0.48188295146483134,1.1222006987721151,0.8016409128988987,0.29940071735652424,2.667387267394088
32,Donovan Mitchell,68,34.0,19.4,8.63,0.445,4.7,3.91,0.8320000000000001,2.7,4.2,4.1,1.52,1.2,0.3,2.7,26.3,True,-1.2955843687779296,1.3573434495178678,1.1969861787643807,2.0171423160274053,1.7678545547576956,-0.49477099190607193,0.9318209677164433,1.0309316296118438,0.7219874287729393,1.3329880753458694,-0.5361418410134448,0.5040801796512027,-0.28112552761693443,0.7728750719146081,-0.6761978569524283,1.1833746809459937,2.03683747106672,2.4782828559334007
